# 公考真题知识库（格式：题型|题目|选项A|选项B|选项C|选项D|答案|解析）
数量|男生每人栽3棵，女生每人栽2棵，共栽100棵，共40人，女生多少人？|A. 10|B. 20|C. 30|D. 35|B|2x+3(40-x)=100 → x=20。
数量|数列 1,2,6,15,31,（）|A. 56|B. 58|C. 62|D. 66|A|差为1、4、9、16、25，平方数列，31+25=56。
数量|一件商品原价100元，先涨价10%，再降价10%，最后价格是？|A. 99|B. 100|C. 101|D. 110|A|100×1.1×0.9=99。
数量|甲、乙两人同时从A、B两地相向而行，甲速度5km/h，乙3km/h，1小时相遇，AB距离？|A. 2km|B. 8km|C. 15km|D. 5km|B|相遇路程=速度和×时间。
数量|一个数除以5余3，除以6余4，最小数是？|A. 28|B. 30|C. 32|D. 34|A|代入法，28符合条件。
数量|1+2+3+…+100 =？|A. 5000|B. 5050|C. 5100|D. 5200|B|等差数列求和公式：(1+100)×100/2=5050。
数量|一个长方形周长20，长6，宽是？|A. 4|B. 5|C. 3|D. 2|A|周长=2×(长+宽) → 宽=4。
数量|20%的盐水500g，含盐多少克？|A. 50g|B. 100g|C. 150g|D. 200g|B|500×20% = 100g。
数量|3年前张三比李四大5岁，今年张三比李四大几岁？|A. 3|B. 4|C. 5|D. 6|C|年龄差永远不变。
数量|一项工程，甲单独做10天完成，乙单独做15天完成，合作几天完成？|A. 5|B. 6|C. 8|D. 9|B|1÷(1/10+1/15)=6天。

申论|申论概括归纳题最核心的原则是？|A. 语言优美|B. 全面、准确、简洁、有条理|C. 多用排比|D. 照搬原文|B|概括题核心：全面、准确、简明、条理清晰。
申论|申论文章最标准结构是？|A. 提出问题—分析原因—解决问题|B. 开头—分论点—结尾（总分总）|C. 叙事—议论—抒情|D. 背景—意义—对策—展望|B|申论议论文标准结构：总分总。
申论|申论作答的根本立场是？|A. 政府立场|B. 群众立场|C. 个人立场|D. 媒体立场|A|申论必须站在政府角度思考问题。
申论|申论对策题的基本要求是？|A. 合理、可行、具体|B. 宏大、抽象、理想|C. 简短、随意、感性|D. 文学性强|A|对策必须具备可行性、针对性、具体性。
申论|申论材料阅读的核心目标是？|A. 找故事|B. 找要点|C. 找修辞|D. 找情感|B|申论阅读核心是提炼要点、关键词、关键信息。
